iter	Passed	Remaining
0	61	61894
1	132	65910
2	160	53501
3	195	48748
4	232	46255
5	328	54343
6	376	53375
7	403	49988
8	435	47988
9	465	46065
10	496	44680
11	522	43038
12	553	42002
13	579	40837
14	607	39884
15	638	39266
16	669	38708
17	698	38102
18	727	37571
19	757	37124
20	790	36838
21	819	36419
22	859	36504
23	893	36333
24	926	36133
25	954	35741
26	985	35510
27	1016	35273
28	1052	35255
29	1081	34982
30	1113	34817
31	1146	34673
32	1180	34603
33	1216	34573
34	1253	34551
35	1285	34412
36	1356	35315
37	1408	35662
38	1444	35582
39	1482	35579
40	1517	35486
41	1551	35392
42	1586	35317
43	1618	35156
44	1652	35061
45	1684	34940
46	1717	34824
47	1748	34674
48	1788	34708
49	1817	34539
50	1854	34500
51	1888	34437
52	1922	34359
53	1955	34252
54	1995	34292
55	2028	34188
56	2070	34247
57	2160	35084
58	2219	35407
59	2272	35598
60	2334	35935
61	2389	36153
62	2447	36406
63	2503	36616
64	2555	36756
65	2608	36909
66	2671	37196
67	2830	38794
68	2910	39274
69	2992	39756
70	3049	39902
71	3085	39767
72	3127	39719
73	3160	39546
74	3196	39429
75	3230	39277
76	3266	39152
77	3306	39080
78	3355	39119
79	3391	38998
80	3430	38926
81	3465	38794
82	3508	38767
83	3546	38678
84	3600	38754
85	3638	38668
86	3673	38554
87	3711	38465
88	3748	38365
89	3789	38319
90	3839	38352
91	3877	38265
92	3914	38180
93	3948	38061
94	3987	37987
95	4027	37921
96	4063	37829
97	4103	37768
98	4149	37764
99	4240	38168
100	4331	38555
101	4382	38586
102	4434	38621
103	4476	38567
104	4517	38503
105	4555	38421
106	4601	38400
107	4636	38298
108	4690	38341
109	4727	38251
110	4775	38247
111	4809	38135
112	4869	38223
113	4922	38259
114	4960	38175
115	4994	38059
116	5030	37967
117	5066	37870
118	5101	37771
119	5134	37652
120	5170	37560
121	5203	37445
122	5238	37354
123	5276	37274
124	5313	37196
125	5346	37085
126	5384	37010
127	5419	36920
128	5456	36841
129	5491	36749
130	5590	37084
131	5628	37012
132	5671	36970
133	5706	36881
134	5748	36835
135	5786	36759
136	5820	36662
137	5858	36593
138	5898	36538
139	5934	36453
140	5970	36375
141	6008	36305
142	6050	36262
143	6087	36184
144	6124	36114
145	6159	36031
146	6196	35956
147	6235	35897
148	6275	35841
149	6337	35910
150	6427	36137
151	6532	36443
152	6632	36716
153	6705	36839
154	6762	36869
155	6799	36788
156	6837	36713
157	6874	36634
158	6917	36591
159	6951	36496
160	6992	36440
161	7030	36368
162	7079	36353
163	7117	36284
164	7157	36222
165	7200	36178
166	7255	36191
167	7315	36227
168	7368	36233
169	7404	36153
170	7443	36087
171	7481	36016
172	7522	35958
173	7557	35874
174	7575	35710
175	7610	35631
176	7647	35557
177	7683	35483
178	7722	35418
179	7756	35336
180	7795	35273
181	7834	35211
182	7877	35169
183	7925	35148
184	7986	35185
185	8044	35205
186	8085	35153
187	8127	35103
188	8204	35206
189	8269	35254
190	8329	35282
191	8383	35281
192	8446	35318
193	8529	35437
194	8637	35655
195	8709	35725
196	8809	35910
197	8884	35986
198	8943	35998
199	9001	36004
200	9051	35980
201	9099	35948
202	9144	35900
203	9187	35850
204	9241	35839
205	9292	35817
206	9369	35892
207	9412	35841
208	9458	35798
209	9506	35763
210	9557	35737
211	9608	35713
212	9644	35634
213	9678	35546
214	9713	35463
215	9747	35378
216	9785	35309
217	9819	35223
218	9854	35141
219	9892	35073
220	9930	35002
221	9967	34931
222	10003	34854
223	10037	34771
224	10079	34718
225	10116	34646
226	10151	34569
227	10185	34488
228	10219	34406
229	10252	34324
230	10292	34264
231	10326	34184
232	10363	34114
233	10398	34040
234	10464	34064
235	10510	34024
236	10566	34018
237	10601	33941
238	10637	33870
239	10671	33792
240	10707	33720
241	10740	33640
242	10775	33568
243	10808	33489
244	10842	33412
245	10875	33333
246	10911	33265
247	10945	33188
248	10981	33120
249	11016	33048
250	11051	32978
251	11086	32906
252	11127	32853
253	11162	32783
254	11199	32718
255	11242	32672
256	11280	32611
257	11314	32539
258	11367	32521
259	11401	32450
260	11443	32402
261	11479	32334
262	11514	32267
263	11549	32197
264	11603	32182
265	11641	32124
266	11678	32061
267	11712	31990
268	11748	31925
269	11780	31851
270	11815	31783
271	11847	31709
272	11880	31637
273	11911	31562
274	11947	31498
275	11981	31429
276	12015	31361
277	12049	31293
278	12085	31232
279	12120	31168
280	12159	31113
281	12192	31044
282	12226	30976
283	12262	30914
284	12296	30849
285	12330	30782
286	12374	30741
287	12406	30671
288	12444	30616
289	12494	30590
290	12552	30582
291	12584	30512
292	12622	30457
293	12658	30397
294	12696	30341
295	12737	30294
296	12773	30234
297	12805	30165
298	12840	30104
299	12873	30039
300	12911	29983
301	12944	29918
302	12982	29862
303	13021	29811
304	13057	29754
305	13090	29689
306	13127	29632
307	13168	29587
308	13204	29527
309	13262	29519
310	13300	29465
311	13332	29399
312	13367	29340
313	13404	29286
314	13440	29228
315	13475	29168
316	13509	29108
317	13557	29076
318	13596	29025
319	13649	29004
320	13695	28968
321	13737	28926
322	13779	28881
323	13824	28842
324	13858	28783
325	13893	28725
326	13927	28664
327	13961	28604
328	13999	28551
329	14035	28497
330	14073	28445
331	14111	28393
332	14148	28338
333	14182	28280
334	14218	28224
335	14252	28165
336	14288	28110
337	14329	28065
338	14378	28036
339	14429	28009
340	14469	27963
341	14504	27906
342	14541	27853
343	14574	27793
344	14609	27737
345	14645	27683
346	14681	27628
347	14719	27577
348	14752	27518
349	14788	27464
350	14823	27408
351	14860	27355
352	14896	27303
353	14934	27252
354	14969	27198
355	15021	27172
356	15069	27142
357	15116	27108
358	15170	27086
359	15218	27054
360	15257	27006
361	15291	26949
362	15328	26898
363	15362	26841
364	15397	26788
365	15432	26733
366	15468	26680
367	15507	26631
368	15566	26618
369	15625	26604
370	15676	26577
371	15708	26518
372	15743	26464
373	15773	26402
374	15807	26346
375	15843	26293
376	15878	26239
377	15908	26177
378	15944	26124
379	16014	26128
380	16043	26066
381	16078	26011
382	16113	25958
383	16149	25905
384	16182	25850
385	16214	25792
386	16261	25757
387	16301	25712
388	16351	25682
389	16395	25644
390	16442	25610
391	16483	25566
392	16529	25530
393	16564	25477
394	16600	25426
395	16637	25376
396	16673	25325
397	16706	25269
398	16741	25217
399	16777	25166
400	16812	25113
401	16846	25060
402	16883	25011
403	16950	25005
404	17045	25042
405	17151	25093
406	17220	25089
407	17281	25075
408	17327	25037
409	17356	24976
410	17393	24926
411	17427	24872
412	17464	24822
413	17500	24770
414	17536	24719
415	17571	24667
416	17608	24617
417	17639	24559
418	17675	24509
419	17711	24458
420	17747	24407
421	17783	24357
422	17820	24307
423	17855	24256
424	17918	24243
425	17968	24210
426	18026	24190
427	18083	24168
428	18137	24141
429	18195	24119
430	18233	24071
431	18267	24018
432	18332	24005
433	18377	23966
434	18417	23921
435	18456	23874
436	18494	23826
437	18529	23775
438	18566	23725
439	18617	23695
440	18661	23655
441	18708	23618
442	18753	23579
443	18792	23533
444	18833	23488
445	18869	23438
446	18905	23388
447	18943	23340
448	18979	23290
449	19013	23238
450	19052	23193
451	19086	23140
452	19122	23091
453	19159	23042
454	19195	22992
455	19233	22945
456	19279	22907
457	19313	22855
458	19354	22812
459	19390	22762
460	19425	22711
461	19458	22658
462	19492	22607
463	19585	22624
464	19656	22615
465	19693	22567
466	19728	22517
467	19766	22469
468	19804	22422
469	19865	22401
470	19904	22355
471	19964	22333
472	20051	22340
473	20089	22293
474	20142	22262
475	20271	22316
476	20394	22361
477	20467	22351
478	20515	22314
479	20560	22273
480	20609	22237
481	20667	22211
482	20719	22177
483	20768	22141
484	20874	22165
485	20987	22196
486	21085	22210
487	21194	22237
488	21315	22274
489	21415	22289
490	21457	22244
491	21493	22192
492	21536	22148
493	21572	22096
494	21609	22045
495	21645	21994
496	21680	21942
497	21718	21892
498	21756	21843
499	21797	21797
500	21836	21749
501	21872	21697
502	21912	21650
503	21949	21600
504	22003	21567
505	22037	21515
506	22083	21473
507	22124	21427
508	22167	21383
509	22205	21334
510	22275	21316
511	22312	21266
512	22352	21219
513	22391	21171
514	22444	21136
515	22479	21085
516	22520	21039
517	22558	20990
518	22627	20970
519	22696	20950
520	22796	20958
521	22837	20912
522	22875	20863
523	22915	20816
524	22953	20767
525	23032	20755
526	23138	20767
527	23257	20790
528	23297	20742
529	23348	20705
530	23405	20672
531	23438	20618
532	23475	20568
533	23504	20511
534	23542	20461
535	23578	20411
536	23612	20359
537	23642	20303
538	23678	20252
539	23710	20197
540	23745	20146
541	23782	20096
542	23823	20050
543	23859	20000
544	23897	19950
545	23932	19900
546	23975	19855
547	24013	19806
548	24053	19759
549	24094	19713
550	24135	19667
551	24178	19622
552	24220	19577
553	24276	19544
554	24327	19505
555	24377	19466
556	24414	19418
557	24460	19375
558	24496	19325
559	24527	19271
560	24563	19221
561	24597	19170
562	24643	19128
563	24676	19076
564	24762	19064
565	24845	19050
566	24877	18998
567	24911	18946
568	24948	18897
569	24985	18848
570	25026	18802
571	25065	18755
572	25103	18707
573	25138	18656
574	25177	18609
575	25215	18561
576	25257	18516
577	25296	18468
578	25336	18422
579	25375	18375
580	25416	18329
581	25453	18280
582	25491	18233
583	25528	18184
584	25566	18136
585	25603	18088
586	25642	18041
587	25677	17992
588	25720	17947
589	25757	17899
590	25793	17850
591	25835	17805
592	25880	17762
593	25967	17748
594	26035	17721
595	26071	17672
596	26108	17624
597	26147	17577
598	26184	17528
599	26228	17485
600	26342	17488
601	26425	17470
602	26462	17422
603	26494	17370
604	26528	17320
605	26573	17276
606	26617	17233
607	26659	17188
608	26694	17138
609	26729	17089
610	26766	17041
611	26800	16991
612	26836	16942
613	26891	16905
614	27013	16911
615	27082	16882
616	27116	16832
617	27152	16783
618	27191	16736
619	27228	16688
620	27266	16640
621	27302	16592
622	27341	16545
623	27375	16495
624	27409	16445
625	27444	16396
626	27487	16352
627	27524	16304
628	27563	16257
629	27599	16209
630	27684	16189
631	27751	16158
632	27810	16123
633	27860	16083
634	27911	16043
635	27962	16003
636	28026	15971
637	28084	15935
638	28173	15916
639	28228	15878
640	28384	15897
641	28487	15885
642	28523	15836
643	28555	15785
644	28589	15735
645	28632	15690
646	28710	15664
647	28744	15614
648	28784	15567
649	28821	15519
650	28859	15471
651	28894	15422
652	28931	15374
653	28970	15326
654	29009	15279
655	29046	15231
656	29085	15184
657	29121	15136
658	29159	15088
659	29194	15039
660	29237	14994
661	29384	15003
662	29507	14998
663	29613	14985
664	29734	14979
665	29826	14958
666	29927	14941
667	30043	14931
668	30089	14887
669	30123	14836
670	30160	14788
671	30193	14737
672	30230	14688
673	30263	14638
674	30299	14588
675	30331	14537
676	30368	14489
677	30404	14439
678	30475	14407
679	30533	14368
680	30567	14318
681	30606	14271
682	30686	14242
683	30767	14214
684	30807	14167
685	30856	14123
686	30913	14084
687	30966	14042
688	31013	13998
689	31078	13962
690	31248	13973
691	31423	13986
692	31761	14070
693	31878	14055
694	31935	14014
695	31993	13974
696	32097	13953
697	32199	13931
698	32273	13897
699	32317	13850
700	32365	13804
701	32405	13756
702	32455	13711
703	32497	13663
704	32563	13625
705	32612	13580
706	32666	13537
707	32714	13492
708	32767	13448
709	32839	13413
710	32923	13382
711	32975	13338
712	33023	13292
713	33074	13248
714	33129	13205
715	33193	13166
716	33279	13135
717	33328	13089
718	33374	13043
719	33425	12998
720	33516	12969
721	33559	12921
722	33594	12870
723	33636	12822
724	33683	12776
725	33732	12730
726	33774	12682
727	33814	12633
728	33864	12588
729	33898	12537
730	33955	12495
731	34052	12467
732	34178	12449
733	34224	12402
734	34273	12357
735	34317	12309
736	34360	12261
737	34412	12216
738	34458	12170
739	34496	12120
740	34534	12070
741	34569	12020
742	34609	11971
743	34642	11920
744	34681	11870
745	34716	11820
746	34753	11770
747	34792	11721
748	34827	11671
749	34862	11620
750	34900	11571
751	34938	11522
752	34971	11471
753	35006	11421
754	35045	11372
755	35083	11323
756	35120	11273
757	35157	11224
758	35197	11176
759	35230	11125
760	35263	11074
761	35297	11024
762	35330	10974
763	35362	10923
764	35399	10874
765	35431	10823
766	35466	10773
767	35502	10724
768	35538	10675
769	35572	10625
770	35613	10577
771	35648	10528
772	35685	10479
773	35721	10430
774	35757	10381
775	35790	10331
776	35826	10282
777	35859	10232
778	35894	10183
779	35930	10134
780	35965	10085
781	35999	10035
782	36046	9989
783	36084	9941
784	36128	9894
785	36160	9845
786	36208	9799
787	36278	9760
788	36318	9712
789	36352	9663
790	36386	9614
791	36421	9565
792	36458	9516
793	36490	9467
794	36528	9419
795	36560	9369
796	36596	9321
797	36631	9272
798	36688	9229
799	36740	9185
800	36777	9136
801	36809	9087
802	36859	9042
803	36893	8993
804	36930	8945
805	36961	8896
806	36993	8847
807	37023	8797
808	37058	8749
809	37089	8699
810	37123	8651
811	37158	8603
812	37199	8556
813	37231	8507
814	37272	8460
815	37302	8411
816	37335	8362
817	37368	8314
818	37399	8265
819	37431	8216
820	37468	8169
821	37498	8120
822	37531	8071
823	37566	8023
824	37601	7976
825	37632	7927
826	37668	7879
827	37699	7831
828	37732	7783
829	37766	7735
830	37798	7687
831	37831	7638
832	37867	7591
833	37900	7543
834	37933	7495
835	37966	7448
836	38000	7400
837	38030	7351
838	38062	7304
839	38096	7256
840	38129	7208
841	38161	7160
842	38196	7113
843	38228	7065
844	38261	7018
845	38297	6971
846	38330	6924
847	38362	6876
848	38400	6829
849	38429	6781
850	38462	6734
851	38497	6687
852	38530	6639
853	38562	6592
854	38599	6546
855	38631	6498
856	38664	6451
857	38700	6405
858	38732	6357
859	38771	6311
860	38807	6265
861	38838	6217
862	38875	6171
863	38908	6124
864	38940	6077
865	38980	6031
866	39015	5985
867	39045	5937
868	39076	5890
869	39108	5843
870	39141	5797
